Metro,Store,Latitude,Longitude,Scanners,Online,Offline,Version,Status
New York,DSG — Times Square,40.7580,-73.9855,48,46,2,v4.5,Active
New York,Skechers — SoHo,40.7233,-74.0030,22,18,4,v4.4,Idle
New York,Foot Locker — Midtown,40.7549,-73.9840,35,34,1,v4.5,Active
New York,Nordstrom — NYC,40.7450,-73.9890,28,25,3,v4.5,Active
Los Angeles,DSG — LA Live,34.0443,-118.2673,40,39,1,v4.5,Active
Los Angeles,Foot Locker — Hollywood,34.1016,-118.3267,31,29,2,v4.5,Active
Los Angeles,REI — Santa Monica,34.0195,-118.4912,24,22,2,v4.4,Active
Chicago,Fleet Feet — Chicago,41.8916,-87.6278,36,34,2,v4.5,Active
Chicago,Dick's — Magnificent Mile,41.8976,-87.6234,29,22,7,v4.3,Idle
London,Foot Locker — Oxford St,51.5154,-0.1419,42,40,2,v4.5,Active
London,Sports Direct — Westfield,51.5073,-0.2216,33,30,3,v4.5,Active
Tokyo,ABC-Mart — Shibuya,35.6595,139.7004,38,37,1,v4.5,Active
Tokyo,Asics — Ginza,35.6717,139.7650,29,28,1,v4.5,Active
Hyderabad,Decathlon — Gachibowli,17.4401,78.3489,28,27,1,v4.5,Active
Hyderabad,Lifestyle — Banjara Hills,17.4126,78.4484,22,21,1,v4.5,Active
Hyderabad,Sports Authority — Hitech City,17.4486,78.3908,18,16,2,v4.4,Active
Hyderabad,Nike — Jubilee Hills,17.4320,78.4070,15,14,1,v4.5,Active
Hyderabad,Puma — Secunderabad,17.4399,78.4983,12,12,0,v4.5,Active
Berlin,Intersport — Mitte,52.5208,13.4094,26,12,14,v4.1,Offline
Berlin,Decathlon — Alexanderplatz,52.5219,13.4132,21,10,11,v4.0,Offline
Sydney,The Athlete's Foot — CBD,-33.8688,151.2093,34,31,3,v4.5,Active
Sydney,Rebel Sport — Bondi,-33.8915,151.2767,27,24,3,v4.4,Idle
Toronto,Sport Chek — Eaton Centre,43.6544,-79.3807,32,30,2,v4.5,Active
Paris,Decathlon — Champs-Elysees,48.8698,2.3078,29,24,5,v4.4,Active
Dallas,Academy Sports — Dallas,32.7876,-96.7985,30,24,6,v4.3,Idle
Sao Paulo,Centauro — Paulista,-23.5614,-46.6559,25,23,2,v4.5,Active
Johannesburg,Totalsports — Sandton,-26.1076,28.0567,20,11,9,v4.1,Offline
Mumbai,Decathlon — Powai,19.1175,72.9050,34,31,3,v4.5,Active
Singapore,Decathlon — Orchard,1.3048,103.8318,28,27,1,v4.5,Active
Mexico City,Sportium — Polanco,19.4333,-99.1917,26,18,8,v4.2,Idle
